Serial_number,csa_id,csa_name,chat_id,date,issue_type,chat_duration,Status_of_chat,Issue_resolved_review,CCXU,Concession_given,Concession_amount
1,11224,Jameel,CH00001,1/28/2026,Account Locked,17,Resolved,Yes,4,Yes,76
2,11226,Akash,CH00002,1/9/2026,Order Cancelled Issue,5,Parked,Not sent,2,No,0
3,11235,Kunal,CH00003,1/3/2026,Wrong Amount Charged,5,Resolved,Yes,5,No,0
4,11226,Akash,CH00004,1/24/2026,Whole Package Missing,20,Parked,Not sent,3,No,0
5,11233,Naman,CH00005,1/3/2026,Unknown Charge,19,Resolved,No,4,Yes,67
6,11222,Amit,CH00006,1/20/2026,Order Cancelled Issue,9,Parked,Not sent,3,No,0
7,11232,Vivek,CH00007,1/1/2026,Wrong Amount Charged,20,Escalated,No response,2,No,0
8,11223,Neha,CH00008,1/16/2026,Payment Failed,19,Resolved,No response,5,Yes,105
9,11224,Jameel,CH00009,1/21/2026,Order Cancelled Issue,21,Resolved,Yes,5,Yes,60
10,11230,Pawan,CH00010,1/22/2026,Account Locked,12,Resolved,No,4,No,0
11,11228,Muskan,CH00011,1/8/2026,Delivered Not Received,9,Resolved,Yes,5,Yes,62
12,11231,Venkat,CH00012,1/22/2026,Wrong Amount Charged,23,Resolved,No response,5,Yes,425
13,11222,Amit,CH00013,1/1/2026,Account Locked,3,Parked,Not sent,2,No,0
14,11221,Anuj,CH00014,1/21/2026,Refund Not Received,9,Resolved,No,5,Yes,41
15,11222,Amit,CH00015,1/17/2026,Account Locked,12,Resolved,No,4,Yes,68
16,11222,Amit,CH00016,1/16/2026,Order Cancelled Issue,14,Resolved,No,5,Yes,187
17,11236,Shakshi,CH00017,1/16/2026,Order Cancelled Issue,20,Resolved,Yes,4,Yes,37
18,11238,Shanti,CH00018,1/16/2026,Whole Package Missing,7,Resolved,Yes,4,Yes,69
19,11238,Shanti,CH00019,1/18/2026,Order Cancelled Issue,25,Resolved,No response,5,Yes,39
20,11236,Shakshi,CH00020,1/14/2026,Order Cancelled Issue,16,Resolved,No response,5,No,0
21,11232,Vivek,CH00021,1/30/2026,Account Locked,5,Parked,Not sent,3,No,0
22,11231,Venkat,CH00022,1/1/2026,Stuck in Shipment,19,Resolved,No response,5,No,0
23,11239,Sameer,CH00023,1/23/2026,Wrong Amount Charged,4,Transfer,Not sent,3,No,0
24,11228,Muskan,CH00024,1/13/2026,Payment Failed,24,Transfer,Not sent,4,No,0
25,11231,Venkat,CH00025,1/9/2026,Account Locked,10,Transfer,Not sent,4,No,0
26,11231,Venkat,CH00026,1/25/2026,Refund Not Received,3,Resolved,Yes,4,Yes,42
27,11236,Shakshi,CH00027,1/28/2026,Stuck in Shipment,5,Resolved,No response,4,No,0
28,11222,Amit,CH00028,1/20/2026,Delivered Not Received,6,Resolved,Yes,4,Yes,415
29,11235,Kunal,CH00029,1/24/2026,Delivered Not Received,4,Resolved,Yes,4,No,0
